"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF"
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-18",,,"0.14",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-19",,,"0.01",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-20",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-21",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-22",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-23",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-24",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-25",,,"0.02",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-26",,,"0.30",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-27",,,"0.07",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-29",,,"0.10",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-30",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-31",,,"0.00",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-01",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-02",,,"0.22",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-03",,,"0.89",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-04",,,"0.00",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-05",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-06",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-07",,,"0.03",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-08",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-09",,,"0.00",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-10",,,"0.00",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-11",,,"0.13",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-12",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-13",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-14",,,"0.00",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-15",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-16",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-17",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-18",,,"0.01",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-19",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-20",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-21",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-22",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-23",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-24",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-25",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-26",,,"0.00",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-27",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-28",,,"0.12",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-29",,,"0.01",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-09-30",,,"2.77",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-01",,,"0.01",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-02",,,"0.06",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-03",,,"0.06",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-04",,,"0.00",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-05",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-06",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-07",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-08",,,"0.06",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-09",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-10",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-12",,,"0.04",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-13",,,"0.41",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-14",,,"0.17",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-16",,,"0.01",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-17",,,"0.60",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-18",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-19",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-20",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-21",,,"0.00",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-22",,,"0.00",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-23",,,"0.00",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-24",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-25",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-26",,,"0.22",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-27",,,"0.08",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-28",,,"0.17",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-29",,,"0.07",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-30",,,"1.65","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-10-31",,,"0.14","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-02",,,"0.13",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-03",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-04",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-05",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-06",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-07",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-08",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-09",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-10",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-11",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-12",,,"0.37",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-13",,,"0.12",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-14",,,"0.11",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-15",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-16",,,"0.35",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-17",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-18",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-19",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-20",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-21",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-22",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-23",,,"0.69",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-24",,,"0.01",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-25",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-26",,,"0.44",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-27",,,"0.06",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-28",,,"0.01",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-29",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-11-30",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-01",,,"3.08",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-02",,,"0.01",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-03",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-04",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-05",,,"0.15",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-06",,,"0.08",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-07",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-08",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-09",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-10",,,"0.00","0.2",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-11",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-12",,,"0.00",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-13",,,"0.07",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-14",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-15",,,"0.14","0.8",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-16",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-17",,,"1.19","14.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-18",,,"0.12","1.5",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-19",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-20",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-21",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-22",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-23",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-24",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-25",,,"1.65",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-26",,,"0.34",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-12-31",,,"0.26",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-01",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-02",,,"0.49",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-04",,,"0.26","2.5",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-08",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-09",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-10",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-11",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-12",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-13",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-14",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-15",,,"0.02",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-16",,,"0.69",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-17",,,"0.03",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-18",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-19",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-20",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-21",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-22",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-23",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-24",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-25",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-26",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-27",,,"0.37","2.7",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-28",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-29",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-30",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-01-31",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-01",,,"0.17","2.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-02",,,"0.74","11.5",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-03",,,"0.03","0.5",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-05",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-06",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-07",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-08",,,"0.04","0.5",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-09",,,"0.09","1.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-10",,,"0.25","3.3",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-11",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-12",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-13",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-14",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-15",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-16",,,"0.73",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2021-02-17",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-01",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-02",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-03",,,"0.15",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-04",,,"0.12",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-05",,,"1.69",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-06",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-07",,,"0.01",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-08",,,"0.13",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-09",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-10",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-11",,,"0.20",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-12",,,"0.33",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-13",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-14",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-15",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-16",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-17",,,"0.00",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-18",,,"0.13",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-19",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-20",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-21",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-22",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-23",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-24",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-25",,,"0.15",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-26",,,"0.08",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-27",,,"0.02",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-28",,,"0.38",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-29",,,"0.07",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-30",,,"0.53",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-08-31",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-01",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-02",,,"0.15",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-03",,,"0.59",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-04",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-05",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-06",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-07",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-08",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-09",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-10",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-11",,,"0.25",,,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-12",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-13",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-14",,,"0.03","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-15",,,"0.00","0.0",,,,,,
"US1NYUL0031","HURLEY 2.2 S, NY US","2020-09-16",,,"0.00","0.0",,,,,,
